name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,Mood
10:35,10:35,Tiësto,6BePGk3eCan4FqaW2X8Qy3,2022-11-03,88,172252,0.696,0.0683,0.793,3.78e-06,0.18,0.698,-5.733,0.097,120.003,8,4,energetic
Die For Someone,Die For Someone,Sam Tompkins,1jmJHtqll7OoGktgsuENWY,2023-01-19,56,168597,0.687,0.051,0.696,3.77e-05,0.18,0.416,-6.952,0.04,136.056,0,4,energetic
What Would You Do?,What Would You Do?,Joel Corry,1D2ZNECRd7KIlA4pyOUGsv,2022-03-18,68,174215,0.687,0.149,0.895,0.00592,0.121,0.686,-2.983,0.0474,124.041,9,4,energetic
THATS WHAT I WANT,MONTERO,Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO,2021-09-17,80,143901,0.737,0.00614,0.846,0.0,0.0486,0.546,-4.51,0.22,87.981,1,4,energetic
As It Was,As It Was,Harry Styles,4LRPiXqCikLlN15c3yImP7,2022-03-31,89,167303,0.52,0.342,0.731,0.00101,0.311,0.662,-5.338,0.0557,173.93,6,4,energetic
Payback (feat. Icona Pop),Payback (feat. Icona Pop),Cheat Codes,7KoFHvEScguiEnD06xYtSt,2022-03-04,51,203411,0.672,0.113,0.8,0.000302,0.132,0.8,-4.919,0.0372,118.013,7,4,energetic
Time of Our Lives,Globalization,Pitbull,2bJvI42r8EF3wxjOuDav4r,2014-11-21,77,229360,0.721,0.0921,0.802,0.0,0.694,0.724,-5.797,0.0583,124.022,1,4,energetic
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,5HCyWlXZPP0y6Gqq8TgA20,2021-07-09,84,141805,0.591,0.0383,0.764,0.0,0.103,0.478,-5.484,0.0483,169.928,1,4,energetic
The Motto,The Motto,Tiësto,18asYwWugKjjsihZ0YvRxO,2021-11-04,81,164818,0.754,0.0301,0.763,2.23e-05,0.0901,0.464,-4.627,0.0435,117.953,7,4,energetic
Where Have You Been,Talk That Talk,Rihanna,5WQQIDU3HRaMyPkob8mpFb,2011-11-18,78,242680,0.719,0.00201,0.847,0.0204,0.221,0.444,-6.34,0.0916,127.963,0,4,energetic
Big (feat. Gunna),Big (feat. Gunna),Rita Ora,78oZ26xvmtCfarveRXs3dq,2021-02-11,54,156781,0.779,0.0659,0.845,1.16e-06,0.0641,0.615,-3.446,0.0356,111.995,7,4,energetic
I'm Good (Blue),I'm Good (Blue),David Guetta,4uUG5RXrOk84mYEfFvj3cK,2022-08-26,92,175238,0.561,0.00383,0.965,7.07e-06,0.371,0.304,-3.673,0.0343,128.04,7,4,energetic
Forever,Forever,Chris Brown,3NZJlJemX3mzjf56MqC5ML,2008-04-29,74,278573,0.672,0.0368,0.82,0.000188,0.184,0.438,-4.456,0.0459,120.005,11,4,energetic
One Day,One Day,Martin Jensen,1MDEvpaFk2Ins7N8hGfFlA,2022-04-22,64,152990,0.605,0.204,0.834,0.0,0.214,0.503,-5.879,0.286,126.277,8,4,energetic
FU In My Head,FU In My Head,Cloudy June,5ZSV1Y3Cq2HkGOYOwxpClP,2022-02-04,60,167248,0.819,0.485,0.487,0.000144,0.0965,0.345,-8.447,0.157,137.938,11,4,energetic
Summer of Love (Shawn Mendes & Tainy),Summer Of Love,Shawn Mendes,0z8hI3OPS8ADPWtoCjjLl6,2021-08-20,76,184104,0.776,0.0297,0.808,0.000127,0.103,0.494,-4.501,0.117,123.988,11,4,energetic
One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),Calvin Harris,7ef4DlsgrMEH11cDZd32M6,2018-04-06,84,214846,0.791,0.037,0.862,2.19e-05,0.0814,0.592,-3.24,0.11,123.994,9,4,energetic
Shut Me Up,Shut Me Up,Nicky Youre,1XuushYZmiAuKpPYTj7p3v,2023-02-24,60,141218,0.623,0.0841,0.641,1.09e-06,0.06,0.735,-3.987,0.0462,185.888,10,4,energetic
Call It Love,Call It Love,Felix Jaehn,5YdnOm5990Kfq1Jodws98B,2022-09-16,80,154560,0.616,0.0559,0.841,0.00217,0.417,0.714,-4.779,0.076,110.029,5,4,energetic
Pon de Replay,Music Of The Sun,Rihanna,4TsmezEQVSZNNPv5RJ65Ov,2005-08-29,78,246960,0.779,0.000155,0.64,0.00077,0.101,0.498,-8.415,0.159,99.019,7,4,energetic
Paradise (feat. Dermot Kennedy),Paradise,MEDUZA,6ft4hAq6yde8jPZY2i5zLr,2020-10-30,75,167903,0.632,0.0689,0.595,0.0,0.209,0.435,-7.644,0.0401,124.114,8,4,energetic
Dancing Feet (feat. DNCE),Thrill Of The Chase,Kygo,288EJf2Hyv0vFtyYlcP9zN,2022-11-11,62,215200,0.746,0.319,0.78,0.0,0.411,0.569,-4.892,0.102,105.931,0,4,energetic
No Lie,Mad Love The Prequel,Sean Paul,48QmG1dfvMuYLxMPt7KSRA,2018-06-29,79,221176,0.742,0.0466,0.882,0.0,0.206,0.463,-2.862,0.117,102.04,7,4,energetic
BED,BED,Joel Corry,0siYMEsGrzzzlWLXK5zJfS,2021-02-26,71,178087,0.671,0.0142,0.782,0.00221,0.333,0.618,-4.593,0.0341,123.989,6,4,energetic
You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1qrpoAMXodY6895hGKoUpA,2021-04-09,76,231124,0.632,0.0623,0.773,0.0,0.0885,0.474,-4.856,0.0346,130.033,6,4,energetic
Disturbia,Good Girl Gone Bad: Reloaded,Rihanna,2VOomzT6VavJOGBeySqaMc,2008-06-02,78,238626,0.707,0.0863,0.813,0.0,0.168,0.722,-4.515,0.0571,124.921,11,4,energetic
Burnin' Up,A Little Bit Longer,Jonas Brothers,2VEsmoek0sol9MnJFyoG9e,2008-08-12,66,175093,0.667,0.0296,0.954,0.0,0.331,0.807,-3.462,0.0817,114.03,2,4,energetic
Remind Me,Remind Me,Tom Grennan,6VIYEyjNW71NnIGEduf8D8,2022-03-18,66,211167,0.599,0.0603,0.831,0.0,0.204,0.624,-4.188,0.0439,132.019,11,4,energetic
Dead End,Dead End,Blusher,6Vqw0rhS84CwHDG99e6dZx,2023-02-24,44,178458,0.704,0.00249,0.775,9.44e-05,0.384,0.467,-5.049,0.05,107.051,11,4,energetic
Million Dollar Baby,Million Dollar Baby,Ava Max,3pPN20syOYvbUuEiBpbenI,2022-09-01,70,184294,0.667,0.0367,0.858,1.47e-05,0.325,0.641,-2.268,0.0926,133.039,2,4,energetic
Your Love (9PM),Your Love (9PM),ATB,5YaskwnGDZFDRipaqzbwQx,2021-01-15,74,150052,0.669,0.194,0.784,6.28e-06,0.115,0.517,-5.603,0.112,125.993,7,4,energetic
Fire Burning,Tomorrow,Sean Kingston,2oENJa1T33GJ0w8dC167G4,2009-09-07,68,239986,0.839,0.0192,0.804,0.0,0.331,0.888,-2.513,0.0329,122.973,1,4,energetic
Can't Remember to Forget You (feat. Rihanna),Shakira. (Expanded Edition),Shakira,2Sh4sAOfnSHEVKFyysxzat,2014-03-14,68,206866,0.694,0.122,0.81,0.0,0.141,0.824,-3.556,0.0661,137.968,11,4,energetic
House On Fire,House On Fire,Jonah Blacksmith,4OqBSwyAzEEMnESPYmb1Xp,2021-10-15,54,201293,0.673,0.136,0.642,0.0,0.125,0.591,-6.117,0.0842,134.929,5,4,energetic
Only Girl (In The World),Loud (Japan Version),Rihanna,2ENexcMEMsYk0rVJigVD3i,2010-01-01,81,235493,0.789,0.112,0.706,1.71e-05,0.0586,0.638,-4.233,0.0429,125.911,11,4,energetic
Chain My Heart,Chain My Heart,Topic,67lbzVADsqJJ6tyVk0XCgn,2021-06-11,65,146880,0.663,0.0791,0.849,1.2e-06,0.192,0.722,-4.462,0.0334,123.992,11,4,energetic
LOOP,LOOP,STO CULTR,2aZPrpx4DXJUxg201ORkbH,2022-06-10,38,161268,0.634,0.00291,0.81,1.11e-05,0.133,0.652,-5.033,0.135,150.009,4,4,energetic
Body Talk,Body Talk,Ofenbach,7nZUNopZZQX1PhfuvrXTWN,2023-02-24,59,139422,0.708,0.0169,0.662,2.47e-05,0.122,0.625,-4.34,0.065,121.975,6,4,energetic
Let Me Love You (Until You Learn To Love Yourself),R.E.D. (Deluxe Edition),Ne-Yo,4kte3OcW800TPvOVgrLLj8,2012-01-01,66,251626,0.658,0.248,0.677,0.0,0.368,0.248,-6.628,0.0393,124.91,5,4,energetic
Blinding Lights,After Hours,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,2020-03-20,88,200040,0.514,0.00146,0.73,9.54e-05,0.0897,0.334,-5.934,0.0598,171.005,1,4,energetic
Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh,2012-12-07,84,233478,0.726,0.049,0.698,0.0,0.309,0.867,-4.165,0.0431,143.994,5,4,energetic
Bad Blood,Bad Blood,Taylor Swift,6xsEAm6w9oMQYYg3jkEkMT,2015-05-17,68,200106,0.654,0.0294,0.655,0.0,0.139,0.221,-7.388,0.106,170.16,11,4,energetic
Never Love You Again,Never Love You Again,Cheat Codes,676tQQmFrilCR8L7kxRcGd,2021-07-16,63,191329,0.645,0.0343,0.786,3.57e-06,0.139,0.597,-5.337,0.0554,124.962,1,4,energetic
Body,Body,Loud Luxury,21RzyxY3EFaxVy6K4RqaU9,2017-10-27,71,163216,0.752,0.0476,0.764,9.44e-05,0.0543,0.582,-4.399,0.038,121.958,1,4,energetic
Don't Stop The Music,Good Girl Gone Bad: Reloaded,Rihanna,0ByMNEPAPpOR5H69DVrTNy,2008-06-02,79,267080,0.835,0.0336,0.669,6.92e-05,0.0535,0.542,-5.582,0.0643,122.668,6,4,energetic
Build You Up,Build You Up,Kim Taylor,0CnUXlmzwl5QfA61FPSlH6,2008-10-10,29,204880,0.502,0.914,0.176,0.0702,0.0962,0.0929,-11.648,0.0306,61.143,10,4,sad
Honeybee,Winter Forever,Seahaven,7dbgHt3XQgALzwA1BqGMdi,2011-11-08,0,249723,0.754,0.885,0.0382,0.0,0.166,0.284,-11.99,0.0411,118.021,2,4,sad
To Build A Home,Ma Fleur,The Cinematic Orchestra,54KFQB6N4pn926IUUYZGzK,2007-05-07,71,371320,0.264,0.885,0.122,0.349,0.094,0.0735,-15.399,0.0349,148.658,9,4,sad
Navy Blue,Songs Of,The Story So Far,3qrftryyICJlOsxAPtdykZ,2014-06-17,0,171955,0.629,0.425,0.426,0.0,0.14,0.411,-6.726,0.0287,114.921,0,3,sad
You Said You'd Grow Old With Me,Wide Awake,Michael Schulte,41WTP0gosjYD74B06uS2tL,2012-09-28,60,224743,0.531,0.905,0.347,0.0,0.0935,0.289,-7.044,0.0345,114.441,0,4,sad
