name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,Mood
If - Full Length Original Mix,If,Freemasons,2F0od5lmUyEdeNO1SmmABm,2009-01-04,0,507160,0.788,0.000526,0.849,0.175,0.0405,0.801,-7.953,0.121,126.007,9,4,energetic
Feel Your Love,Feel Your Love,A/K,7HLhJufR518bPFeccJCUqF,2022-02-11,20,178032,0.74,0.0501,0.861,0.0219,0.168,0.888,-5.187,0.0381,122.025,7,4,energetic
Watchin',Watchin',Freemasons,2DibvlvuZ6WJyUKU3WJrgS,2006-02-27,0,390040,0.605,0.000297,0.95,0.065,0.159,0.618,-6.747,0.0634,128.006,5,4,energetic
Incredible,Sound Advice,The Shapeshifters,5cpcDjQXOVhX4iqPmc81Z6,2006-03-27,4,313608,0.734,0.0526,0.94,2.06e-05,0.0432,0.652,-5.734,0.0664,123.999,9,4,energetic
Back To Basics,Sound Advice,The Shapeshifters,3B689qjcFrNrHT4tB6g7Aa,2006-03-27,7,327280,0.704,0.00253,0.928,0.00373,0.526,0.575,-5.295,0.0411,123.986,9,4,energetic
One More Time,Discovery,Daft Punk,0DiWol3AO6WpXZgp0goxAV,2001-03-12,74,320357,0.613,0.0194,0.697,0.0,0.332,0.476,-8.618,0.133,122.746,2,4,energetic
Feel The Vibe,Feel The Vibe,Axwell,0FtASn2bSCRjqD5X4x285e,2009-07-26,0,426946,0.634,0.00509,0.846,0.695,0.229,0.818,-7.848,0.0456,128.009,11,4,energetic
Drop the Preassure,Technics. Pure Summer Experience 2005,Various Artists,0OXfzIElvhS4gcC8g2B38P,2005-06-01,0,255344,0.81,0.0335,0.589,0.771,0.114,0.482,-7.364,0.0648,129.005,9,4,energetic
Romeo (Radio Edit),Romeo,Basement Jaxx,5NRwcPIIebHyInnJc4SzFG,2001-06-04,0,207666,0.701,0.0102,0.833,0.00161,0.365,0.894,-3.552,0.0439,126.835,2,4,energetic
Intro,Running - Single,Alan Braxe,3EXPdW0NGGkPlyDMcScfgu,2000-04-01,0,294720,0.859,0.0292,0.848,0.00151,0.304,0.61,-5.842,0.216,123.937,1,5,energetic
Touch Me (Radio Edit) [feat. Cassandra],Kismet Records Presents Touch Me (feat. Cassandra),Rui Da Silva,6j8nh1kHwezw8pkC2eU87F,2001,56,213133,0.464,0.124,0.922,0.227,0.0546,0.695,-8.399,0.0638,129.078,0,4,energetic
My Feeling (Daddy'S Prime Time Edit),My Feeling,Junior Jack,3nUOnATHktg7VW5TtWeJnd,1999-11-15,0,228960,0.7,0.00598,0.849,0.0156,0.286,0.455,-6.556,0.129,130.989,11,4,energetic
Now or Never - Radio Edit,Now or Never,Tom Novy,47EsWY7o5F1u9OSZXt3PCU,2000-03-20,8,242960,0.824,0.00129,0.886,0.122,0.178,0.83,-5.91,0.057,128.773,6,4,energetic
Believe - Ministers Vocal Mix,Subliminal Messages Miami 10,Various Artists,7IED3V103dNWEf5ibQIs4B,2010,0,511790,0.837,0.0126,0.735,0.00441,0.268,0.839,-9.813,0.0683,127.159,11,4,energetic
Rapture,Sounds Of The City - New York,Various Artists,6kMgASsvu0w4LtetpFpEhz,2009-11-27,0,253631,0.66,0.071,0.879,0.0309,0.146,0.61,-8.261,0.0376,123.966,8,4,energetic
Resurection (Radio Edit),Resurection,PPK,1gCTmoYRyFtL81xsun61PJ,2001-12-03,0,196648,0.573,0.0266,0.901,0.335,0.637,0.558,-5.378,0.031,139.984,2,4,energetic
Who Do You Love Now - Bart Claessen Radio Mix,A State Of Trance Classics,Armin van Buuren,4KkZC1pujQujYsf0ns1sD1,2011-11-16,0,190921,0.49,5.07e-05,0.848,0.733,0.791,0.19,-8.479,0.0441,134.004,1,4,energetic
Rocking Music (Radio Edit),Rocking Music,Martin Solveig,5jHO3Elq0qeJaC7v4K1jmt,2003,35,222120,0.721,0.000368,0.886,0.176,0.257,0.756,-4.976,0.0409,128.032,2,4,energetic
Lift Me Up - Radio Mix,Housemusic.De,Milk & Sugar,1FiXfvEi3VYIAOI7kGTLjb,2003-10-20,16,227080,0.707,0.0302,0.883,0.00323,0.0268,0.963,-6.296,0.0368,128.192,5,4,energetic
Stay Around - Dub Mix,Housemusic.De,Milk & Sugar,7wwKsvhB2sd5mpqgfNASsQ,2003-10-20,16,432853,0.707,0.00287,0.61,0.895,0.186,0.575,-9.793,0.0511,127.995,11,4,energetic
Let the Sun Shine - Terrace Vocal Radio Edit,Housemusic.De,Milk & Sugar,18wQx3mWVM5qBVckrLZjj3,2003-10-20,38,213813,0.604,0.00145,0.921,0.00107,0.0357,0.96,-6.835,0.0385,126.05,11,4,energetic
I Got This Feeling (Milk & Sugar Radio Mix),I Got This Feeling Ed. 1,Milk & Sugar,3pujIb1BdmCbuZ1gNWjz3Y,2002-09-09,15,229160,0.746,0.0313,0.853,0.00053,0.396,0.824,-6.331,0.0437,126.966,6,4,energetic
What Is Love,10 Years of Milk & Sugar (The Singles 1997 - 2007),Milk & Sugar,27x6bCzXOlYtIxlvt3rDVE,2007-11-09,18,188690,0.599,0.0948,0.972,1.16e-06,0.833,0.506,-7.051,0.227,127.081,5,4,energetic
You Got The Love (Radio Edit),You Got The Love,Solitaire,07mgpSb4tlu4yGqFabpjnV,2005-08-16,17,198493,0.68,0.000209,0.914,0.00166,0.11,0.706,-4.571,0.0792,125.966,3,4,energetic
Put `Em High (Album Version),Can't Get Enough,StoneBridge,0MS1fCpZ4NvTWQZJTvjYIz,2004-09-13,0,327333,0.744,0.0211,0.722,0.182,0.0911,0.719,-9.499,0.0362,128.193,6,4,energetic
"World, Hold On - Radio Edit",Blue Pie Dance Grooves Vol.10,Electric 9,7mce6WUJ4GC6hVQUH3GXCe,2011-01-01,0,200753,0.752,0.0489,0.921,1.75e-05,0.0875,0.671,-2.905,0.0829,126.99,8,4,energetic
I feel for you - Original,Champs elysées,Bob Sinclar,3zAU6cqXVFTzz1Yvnw87x1,2000,45,350813,0.658,0.000164,0.889,0.0116,0.337,0.501,-4.432,0.0435,129.973,8,4,energetic
The beat goes on - Original,III,Bob Sinclar,0JFcQm0Zjdt8FjqXHe0123,2003,39,179293,0.765,0.00354,0.694,0.0,0.268,0.737,-4.344,0.0656,127.944,5,4,energetic
Save our soul - Original,Champs elysées,Bob Sinclar,40UK41z8wyc2Qb0v03L0IG,2000,39,262866,0.69,0.000897,0.976,0.639,0.338,0.689,-4.44,0.0558,128.045,3,4,energetic
Hard to Beat - Axwell Mix,Living For The Weekend,Hard-FI,2sUutBEvRJwW8r7Wp7m6ox,2006-04-10,20,449893,0.735,0.00297,0.873,0.000446,0.0859,0.744,-6.645,0.0553,125.98,6,4,energetic
Leave The World Behind - Radio Edit,Leave The World Behind,Various Artists,1hOV1l4X9xiSDzJViVAtqn,2010-06-15,0,163720,0.525,0.00197,0.799,0.00138,0.3,0.363,-7.721,0.0464,128.0,1,4,energetic
It's True,It's True,Axwell,77TJGTo4wIvDR9YoxIVj5o,2007-08-13,21,184826,0.579,0.00314,0.869,0.00114,0.137,0.612,-6.532,0.0327,127.415,8,4,energetic
