popularity,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
53,0.873,0.288,0.457,1.12e-06,0.093,0.74,-11.558,0.0451,137.543,11,4
50,0.799,0.342,0.442,3.75e-06,0.206,0.788,-11.894,0.036,123.009,1,4
64,0.377,0.624,0.396,0.0415,0.071,0.144,-10.194,0.0728,92.001,9,3
63,0.734,0.224,0.438,0.00292,0.215,0.645,-6.124,0.0865,143.961,6,4
54,0.849,0.692,0.361,0.00673,0.14,0.553,-10.057,0.0641,137.539,11,4
66,0.942,0.151,0.365,0.0,0.108,0.622,-12.766,0.47,120.016,10,4
73,0.777,0.162,0.469,0.00239,0.108,0.557,-8.344,0.163,136.05,6,4
49,0.636,0.365,0.687,4.89e-06,0.176,0.531,-5.887,0.308,77.147,8,4
66,0.727,0.283,0.53,2.76e-05,0.392,0.258,-8.616,0.312,174.025,9,3
63,0.667,0.341,0.508,0.0,0.644,0.093,-10.337,0.451,89.436,5,3
52,0.717,0.524,0.406,0.000832,0.0684,0.462,-12.195,0.0962,80.015,0,4
